Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDJ41,6.85,LF,0.02288328,Frozen Foods,261.2594,OUT046,1997,Small,Tier 1,Supermarket Type1,2878.2534
FDX59,10.195,Low Fat,0.051618281,Breads,31.9558,OUT013,1987,High,Tier 3,Supermarket Type1,373.5138
NCC54,17.75,Low Fat,0.097909084,Health and Hygiene,242.1196,OUT045,2002,,Tier 2,Supermarket Type1,4097.3332
FDV39,11.3,Low Fat,0.007309544,Meat,196.2426,OUT018,2009,Medium,Tier 3,Supermarket Type2,4943.565
NCK05,20.1,Low Fat,0.077389797,Health and Hygiene,60.8536,OUT013,1987,High,Tier 3,Supermarket Type1,1347.5792
FDQ48,14.3,Regular,0.034404732,Baking Goods,98.1726,OUT035,2004,Small,Tier 2,Supermarket Type1,489.363
FDP32,6.65,Low Fat,0.087652908,Fruits and Vegetables,128.8678,OUT035,2004,Small,Tier 2,Supermarket Type1,1398.8458
FDR59,14.5,Regular,0.063993068,Breads,260.4594,OUT045,2002,,Tier 2,Supermarket Type1,5494.8474
NCF43,8.51,Low Fat,0.05190268,Household,142.247,OUT013,1987,High,Tier 3,Supermarket Type1,2862.94
NCT06,17.1,Low Fat,0.038816115,Household,166.4842,OUT045,2002,,Tier 2,Supermarket Type1,1326.2736
FDN23,6.575,Regular,0.07566089,Breads,145.4444,OUT045,2002,,Tier 2,Supermarket Type1,2612.5992
FDB05,5.155,Low Fat,0.083198341,Frozen Foods,246.0776,OUT046,1997,Small,Tier 1,Supermarket Type1,990.7104
FDN10,11.5,Low Fat,0.0,Snack Foods,119.5124,OUT018,2009,Medium,Tier 3,Supermarket Type2,829.5868
NCG30,20.2,LF,0.112321218,Household,123.6046,OUT046,1997,Small,Tier 1,Supermarket Type1,2988.1104
FDC03,8.575,reg,0.071958197,Dairy,195.3794,OUT049,1999,Medium,Tier 1,Supermarket Type1,3511.4292
FDJ21,,Regular,0.038341654,Snack Foods,146.2102,OUT027,1985,Medium,Tier 3,Supermarket Type3,4228.4958
FDM33,15.6,Low Fat,0.0,Snack Foods,220.4798,OUT018,2009,Medium,Tier 3,Supermarket Type2,661.1394
FDV47,17.1,Low Fat,0.054514169,Breads,84.4566,OUT017,2007,,Tier 2,Supermarket Type1,591.8962
FDP03,5.15,Regular,0.061165512,Meat,125.6388,OUT035,2004,Small,Tier 2,Supermarket Type1,2848.2924
FDC40,16.0,Regular,0.065009745,Dairy,79.5986,OUT013,1987,High,Tier 3,Supermarket Type1,934.7832
NCD54,21.1,low fat,0.029054046,Household,144.6786,OUT049,1999,Medium,Tier 1,Supermarket Type1,2889.572
FDW24,6.8,Low Fat,0.03749705,Baking Goods,49.9034,OUT046,1997,Small,Tier 1,Supermarket Type1,194.4136
DRG15,6.13,Low Fat,0.076891526,Dairy,61.5536,OUT045,2002,,Tier 2,Supermarket Type1,796.2968
NCO02,11.15,Low Fat,0.0,Others,65.0142,OUT049,1999,Medium,Tier 1,Supermarket Type1,1120.5414
NCZ17,,Low Fat,0.079046992,Health and Hygiene,39.8506,OUT027,1985,Medium,Tier 3,Supermarket Type3,1480.0734
NCY54,8.43,Low Fat,0.177661246,Household,170.5422,OUT035,2004,Small,Tier 2,Supermarket Type1,3621.2862
FDA32,14.0,LF,0.0,Fruits and Vegetables,216.9192,OUT017,2007,,Tier 2,Supermarket Type1,6471.576
DRH49,,Low Fat,0.043168763,Soft Drinks,82.8592,OUT019,1985,Small,Tier 1,Grocery Store,165.1184
FDC10,9.8,Regular,0.073289899,Snack Foods,120.8098,OUT017,2007,,Tier 2,Supermarket Type1,1325.6078
FDD04,16.0,Low Fat,0.090111173,Dairy,141.3154,OUT049,1999,Medium,Tier 1,Supermarket Type1,3261.7542
FDQ33,13.35,Low Fat,0.091723066,Snack Foods,148.8708,OUT017,2007,,Tier 2,Supermarket Type1,3761.77
FDJ03,12.35,Regular,0.072334667,Dairy,49.1692,OUT013,1987,High,Tier 3,Supermarket Type1,886.8456
FDL43,10.1,Low Fat,0.027059264,Meat,76.467,OUT035,2004,Small,Tier 2,Supermarket Type1,1761.041
FDQ40,11.1,Regular,0.036020711,Frozen Foods,177.2712,OUT035,2004,Small,Tier 2,Supermarket Type1,2109.2544
FDR13,9.895,Regular,0.028837829,Canned,117.8492,OUT018,2009,Medium,Tier 3,Supermarket Type2,1506.0396
FDL39,,Regular,0.06302467,Dairy,181.6318,OUT027,1985,Medium,Tier 3,Supermarket Type3,1263.0226
FDH27,7.075,Low Fat,0.058346939,Dairy,142.2128,OUT046,1997,Small,Tier 1,Supermarket Type1,3163.8816
FDY36,12.3,Low Fat,0.009463757,Baking Goods,73.838,OUT017,2007,,Tier 2,Supermarket Type1,1245.046
FDR46,,Low Fat,0.138742518,Snack Foods,147.476,OUT027,1985,Medium,Tier 3,Supermarket Type3,3368.948
NCU42,9.0,Low Fat,0.019536981,Household,170.0474,OUT049,1999,Medium,Tier 1,Supermarket Type1,4211.185
